accent,latitude,longitude
90001,48.2083537,16.3725042
80424,47.281639,9.6638683
80423,47.3032592,9.6515773
80422,47.3018009,9.6740663
80421,47.2539343,9.6711154
80420,47.2876898,9.6527997
80419,47.2140794,9.726445
80418,47.2049457,9.6978746
80417,47.2251166,9.6720215
80416,47.2922308,9.6534863
80415,47.2156157,9.6997105
80414,47.2703808,9.6426923
80413,47.2997982,9.5831052
80412,47.3493178,9.6182347
80411,47.2659118,9.7029357
80410,47.3307636,9.6030862
80409,47.3077586,9.647796
80408,47.3351291,9.6440092
80407,47.2364396,9.6313427
80406,47.3146553,9.6739793
80405,47.215441,9.6318883
80404,47.2375671,9.5981724
80403,47.2270771,9.7240052
80402,47.2212517,9.7193666
80401,47.3544962,9.6518728
80303,47.4276538,9.6599406
80302,47.3639973,9.689271
80301,47.4136351,9.7423762
80240,47.4667813,9.750197
80239,47.2581667,10.1833481
80238,47.5199748,9.9126664
80237,47.4267926,10.0379971
80236,47.4137551,9.852372
80235,47.4450945,9.7630419
80234,47.2579216,10.092535
80233,47.3133602,10.0150897
80232,47.3520492,9.9453735
80231,47.5045142,9.9638858
80230,47.3710686,9.8932993
80229,47.5620084,9.8166592
80228,47.3240997,10.1544534
80227,47.3499764,9.8811896
80226,47.5294182,9.7533944
80225,47.4503224,9.920538
80224,47.4747262,9.7313331
80223,47.4683155,9.8974775
80222,47.5084725,9.8299736
80221,47.4828907,9.9354306
80220,47.4796561,9.7648686
80219,47.5875429,9.7813256
80218,47.554821,9.7513786
80217,47.4598203,9.6379578
80216,47.4575826,9.9598311
80215,47.489391,9.6916539
80214,47.4655232,9.5988759
80213,47.4791446,9.6631092
80212,47.536088,9.7797313
80211,47.4314481,9.8973803
80210,47.4923803,9.8789461
80209,47.280449,9.890958
80208,47.4816032,9.81819
80207,47.5025779,9.7472924
80206,47.3693831,9.9287567
80205,47.4580056,9.7722409
80204,47.3852407,9.9013727
80203,47.3224639,9.9774787
80202,47.4123101,9.8949126
80201,47.4503115,9.8313601
80129,47.0957061,9.8644414
80128,47.0766944,9.9028002
80127,47.2149366,9.7862521
80126,47.2,9.7666667
80125,47.1407767,9.8570205
80124,47.2377873,9.8958729
80123,47.0949582,9.9776931
80122,47.0802089,9.9197063
80121,47.2209069,9.8154652
80120,47.0202245,9.9740516
80119,47.1116168,9.866415
80118,47.209833,9.837458
80117,47.1717622,9.8003634
80116,47.183198,9.6995419
80115,47.1954575,9.7826125
80114,47.1297982,9.8515421
80113,47.2091173,10.1401259
80112,47.1312847,10.0921339
80111,47.1444273,9.9157868
80110,46.9833334,10.0333333
80109,47.2474775,9.9088436
80108,47.1240671,9.9969647
80107,47.1430969,9.7751382
80106,47.1512283,9.8035934
80105,47.08761615,9.721095133600434
80104,47.1995763,9.7464679
80103,47.153037,9.8219314
80102,47.2226595,9.8342567
80101,47.092237,9.9076546
70941,47.24052585,11.85605617371953
70940,47.2335951,11.881991
70939,47.4046346,11.7985577
70938,47.2985884,11.6661045
70937,47.3037757,11.6425441
70936,47.3422672,11.683269
70935,47.3228984,11.8633141
70934,47.1608599,11.7360615
70933,47.3225275,11.6432363
70932,47.2914494,11.9062722
70931,47.2915998,11.8842676
70930,47.3959023,11.8228282
70929,47.5150931,11.7964984
70928,47.368032,11.7162781
70927,47.1967384,11.8593827
70926,47.3449529,11.7084253
70925,47.3771614,11.8406936
70924,47.2402277,11.9115677
70923,47.2997158,11.8706394
70922,47.204666,11.8737046
70921,47.3207022,11.6811006
70920,47.1672188,11.8638664
70918,47.290809,11.8743861
70917,47.3915387,11.7717443
70916,47.2045389,11.8645853
70915,47.3507857,11.8734595
70914,47.2186624,11.9002381
70913,47.23194245,11.953669467375548
70912,47.2256221,12.0345602
70911,47.3655593,11.764082
70910,47.294062749999995,11.798387667677678
70909,47.3430373,11.847023
70908,47.1524246,11.8213394
70907,47.4742812,11.58486379208906
70905,47.3733189,11.7516548
70904,47.3904776,11.8517418
70903,47.1668896,11.9000281
70902,47.2651575,11.895909
70901,47.5276244,11.7056026
70837,47.5081159,10.4777778
70836,47.4415816,10.6415183
70835,47.4863609,10.6890365
70834,47.38181425,10.525939103356976
70833,47.5493283,10.6304727
70832,47.4994166,10.5160985
70831,47.2423134,10.2926656
70830,47.382914,10.5622185
70829,47.5126197,10.4610001
70828,47.4891092,10.7187955
70827,47.5417074,10.690383269570443
70826,47.5103376,10.7189474
70825,47.299707850000004,10.594328613355867
70824,47.4850217,10.6109439
70823,47.3559138,10.6555604
70822,47.5348549,10.6707332
70821,47.3989427,10.8877611
70820,47.4869567,10.7036752
70819,47.2155823,10.2995316
70818,47.5735284,10.4470103
70817,47.2600843,10.3445814
70816,47.4725572,10.6869975
70815,47.3604517,10.4617313
70814,47.4458377,10.7458918
70813,47.29450975,10.48924314366543
70812,47.2679409,10.535317
70811,47.5010086,10.5534579
70810,47.4186125,10.5864835
70809,47.3396244,10.5429672
70808,47.2910157,10.436874
70807,47.3986534,10.9205046
70806,47.4584107,10.682567143497435
70805,47.4886608,10.7277219
70804,47.4204978,10.789158
70803,47.3823667,10.8915055
70802,47.4091141,10.747685
70801,47.24407375,10.412906117436808
70735,46.7515282,12.4409023
70734,47.0038878,12.4600417
70733,46.7037966,12.6775325
70732,46.817063,12.7881389
70731,46.8484676,12.7611447
70729,46.7505281,12.4870636
70728,46.7472874,12.4180291
70727,46.8796281,12.6568072
70726,46.9247717,12.4236408
70725,46.90251,12.6272687
70724,46.946262950000005,12.262485628651376
70723,47.0380346,12.312435883926009
70721,46.7100276,12.6147258
70720,46.84537,12.73071
70719,46.8373,12.806
70718,46.7869681,12.9089785
70717,47.0,12.5333333
70716,46.904632,12.51192976286156
70715,46.8094477,12.7492166
70714,46.8984609,14.8438629
70713,46.7253647,12.4974701
70712,47.0023791,12.6458495
70711,46.86987605,12.840795422552784
70710,46.8078411,12.3720904
70709,46.9218,12.5208519
70708,46.853196350000005,12.786594902836882
70707,46.8257242,12.841001
70706,46.7864926,12.4290642
70705,46.7861656,12.6399285
70704,46.7724023,12.5561701
70703,46.8134891,12.7618168
70702,46.8660563,12.690189
70701,46.7564042,12.5298515
70630,47.1582937,10.5890562
70629,47.0177114,10.6076769
70628,47.1257792,10.5135181
70627,47.1251637,10.4614527
70626,47.1485314,10.5539935
70625,46.9580528,10.4365284
70624,47.0375066,10.6103285
70623,47.0833333,10.4666667
70622,47.193936,10.6496315
70621,47.1288996,10.2663669
70620,47.0541125,10.6523182
70619,47.0770558,10.6642553
70618,47.1349355,10.5129292
70617,46.9984543,10.5829968
70616,47.1494872,10.3435849
70615,46.8917562,10.5026037
70614,47.1424135,10.5704571
70613,47.0725301,10.6494848
70612,47.0791149,10.6911021
70611,47.0351419,10.7466146
70610,47.0829843,10.7086245
70609,47.0633793,10.3755315
70608,47.0120228,10.2913166
70607,47.1411525,10.5149516
70606,46.9681674,10.1865341
70605,47.1485846,10.4084404
70604,47.1196695,10.628606
70603,47.0571538,10.6166175
70602,47.053763,10.676418
70601,47.0812015,10.672346
70531,47.4872718,12.0637633
70530,47.3988608,12.031095168128473
70529,47.6512311,12.3186415
70528,47.5065843,12.0399435
70527,47.5806574,12.029915079797096
70526,47.5037676,12.1914903
70525,47.5440468,12.1407757
70524,47.5284373,12.2507041
70523,47.6568865,12.26899
70522,47.4168269,11.8798321
70521,47.4398841,11.8941106
70520,47.4464064,11.907867
70519,47.6691067,12.227436598000502
70518,47.6500522,12.2137047
70517,47.4207732,11.8330474
70516,47.5261836,12.05395
70515,47.55163005,12.079723948042025
70514,47.4691393,11.9845598
70513,47.582996,12.1692134
70512,47.4450519,11.8808259
70511,47.5111617,12.0859208
70510,47.6817612,12.1815044
70509,47.5136972,12.3024747
70508,47.630874,12.2154318
70506,47.4302395,11.8772297
70505,47.4785413,11.9737896
70504,47.4901867,11.8939235
70503,47.510719,12.1188475
70502,47.5072393,12.0648925
70501,47.398816,11.9434513
